Sample,,formate Results,acetate Results,propanoate Results,butyrate Results,isovalerate Results,Lactate Results,Succinate Results,Fumarate Results
10/19/2021 4:53 PM,69_1.D,68263,103949,43328,10286,35274.35,1607,64247,24705
10/20/2021 1:10 PM,69_2.D,53185,104478,39243,9498,20161,504,32399,6923
10/20/2021 5:04 PM,69_3.D,56061,86692,42467,10022,18653,781,36020,22747
10/20/2021 10:28 PM,69_4.D,53563,95161,39192,9498,19811,644,28019,13169
10/21/2021 2:04 AM,69_5.D,45471,108820,37668,8379,16382,3072,35180,13443
10/21/2021 5:25 AM,69_6.D,58611,105469,39391,8471,20040,1030,29817,12348
10/21/2021 12:42 PM,69_7.D,43601,98058,37492,8309,16179,898,22174,11813
10/21/2021 4:21 PM,69_8.D,45183,93060,38299,8352,17439,395,22748,10617
10/21/2021 9:29 PM,69_9.D,35663,168330,37922,8415,17143,337,36740,6855
10/22/2021 12:48 AM,69_10.D,45734,123357,37233,8483,18836,1206,14898,8859
10/19/2021 5:08 PM,70_1.D,104344,139723,69015,13972,44538.64,2370,53506,25397
10/20/2021 1:25 PM,70_2.D,75024,163131,50704,11357,28354,467,29123,1797
10/20/2021 5:19 PM,70_3.D,52988,105152,39313,9519,19928,524,17752,1829
10/20/2021 10:43 PM,70_4.D,69354,148684,48269,11036,23767,4878,34002,14377
10/21/2021 2:19 AM,70_5.D,49692,125842,42052,8950,20567,778,42488,13590
10/21/2021 5:40 AM,70_6.D,48349,89076,38770,8533,19538,625,29764,12395
10/21/2021 12:58 PM,70_7.D,41700,110784,38405,8494,18001,649,20766,5551
10/21/2021 4:36 PM,70_8.D,51464,176408,55361,10942,22295,229,39725,5192
10/21/2021 9:44 PM,70_9.D,53947,277038,51657,10639,24258,797,65873,35084
10/22/2021 1:19 AM,70_10.D,48732,217337,41514,9242,16847,224,25067,4108
10/19/2021 5:23 PM,71_1.D,72685,107511,43199,10173,36741.62,2172,56188,33807
10/20/2021 1:40 PM,71_2.D,68151,108120,50812,11392,25746,1104,65515,18289
10/20/2021 7:38 PM,71_3.D,50333,89585,36542,9100,18262,617,27135,13086
10/20/2021 10:59 PM,71_4.D,53888,109176,39069,9584,18570,1890,43989,12583
10/21/2021 2:35 AM,71_5.D,45218,120558,39099,8423,18525,706,29717,14059
10/21/2021 5:56 AM,71_6.D,51653,119959,41607,8917,20149,1309,51048,14416
10/21/2021 1:13 PM,71_7.D,38417,84354,37333,8253,15485,364,4362,2082
10/21/2021 4:52 PM,71_8.D,51313,143505,52111,10556,24190,813,36703,14544
10/21/2021 9:59 PM,71_9.D,42701,237873,41674,9186,17151,241,6450,551
10/22/2021 1:34 AM,71_10.D,54181,225184,53205,11124,25614,321,51267,7913
10/19/2021 5:39 PM,72_1.D,78832,148614,45318,10680,36684.61,1555,114141,35634
10/20/2021 1:56 PM,72_2.D,83617,169200,47213,10868,23962,924,40232,17772
10/20/2021 7:54 PM,72_3.D,51766,114313,38312,9236,19527,402,10712,1014
10/20/2021 11:14 PM,72_4.D,54737,103079,39267,9592,17106,1451,48165,34333
10/21/2021 2:50 AM,72_5.D,45640,93803,37836,8229,18340,2031,34396,12974
10/21/2021 6:11 AM,72_6.D,47463,102619,40327,8602,18675,593,27462,21697
10/21/2021 1:29 PM,72_7.D,38748,98685,39667,8637,16588,537,21828,7426
10/21/2021 6:55 PM,72_8.D,37751,72731,35303,8322,15478,301,35,18
10/21/2021 10:15 PM,72_9.D,40356,147793,37521,8596,18322,416,36549,9629
10/22/2021 1:50 AM,72_10.D,41199,88406,38009,8709,17334,476,6625,1750
10/19/2021 5:55 PM,73_1.D,71049,130292,42668,9965,35317.15,1830,81936,32166
10/20/2021 2:19 PM,73_2.D,55641,107159,39384,9653,20984,790,57729,20687
10/20/2021 8:09 PM,73_3.D,52165,134691,39568,9656,19615,363,42714,11099
10/20/2021 11:30 PM,73_4.D,76347,105917,53557,11898,24975,6295,23638,11145
10/21/2021 3:06 AM,73_5.D,46915,118151,40832,8683,19470,713,43198,24846
10/21/2021 6:27 AM,73_6.D,47502,85308,39285,8536,20178,420,5256,1670
10/21/2021 1:44 PM,73_7.D,35400,212323,35096,7946,17424,376,25929,6415
10/21/2021 7:10 PM,73_8.D,39687,103099,38140,8843,16916,473,10106,6242
10/21/2021 10:30 PM,73_9.D,41128,114001,37606,8637,18280,671,15230,7484
10/22/2021 2:05 AM,73_10.D,42587,161505,41236,9338,18451,422,21883,11579
10/19/2021 6:10 PM,74_1.D,75563,109054,49137,11086,33062.22,1463,33019,19052
10/20/2021 2:35 PM,74_2.D,57751,77495,40820,9763,21453,823,4948,1790
10/20/2021 8:24 PM,74_3.D,53069,77097,40012,9631,19592,940,13658,8773
10/20/2021 11:45 PM,74_4.D,54591,168102,39116,9544,18051,911,47762,14007
10/21/2021 3:21 AM,74_5.D,46260,124245,39365,8447,18010,652,38475,6012
10/21/2021 6:42 AM,74_6.D,47002,94352,35661,7844,18491,624,25022,9811
10/21/2021 1:59 PM,74_7.D,46316,172561,45792,9734,22628,770,69583,23415
10/21/2021 7:26 PM,74_8.D,37596,118018,36091,8307,17687,471,34851,12204
10/21/2021 10:45 PM,74_9.D,39783,109903,38463,8494,17234,241,30789,2062
10/22/2021 2:20 AM,74_10.D,54563,151888,51256,10819,25428,775,20250,10873
10/19/2021 6:25 PM,75_1.D,71217,93516,42486,9979,34618.65,1598,14650,6997
10/20/2021 2:50 PM,75_2.D,71055,125333,44531,10384,22150,957,27429,17917
10/20/2021 8:40 PM,75_3.D,51099,66234,37634,9339,20119,416,33,22
10/21/2021 12:01 AM,75_4.D,58959,87276,39939,9654,18641,766,32843,15838
10/21/2021 6:57 AM,75_6.D,50253,123576,39131,8540,18871,641,43720,22272
10/21/2021 2:15 PM,75_7.D,39835,86025,37495,8229,17246,1825,25987,6344
10/21/2021 7:41 PM,75_8.D,40566,107276,38359,8723,17303,808,10493,8346
10/21/2021 11:01 PM,75_9.D,39913,104070,36892,8452,18124,587,12895,6019
10/22/2021 2:36 AM,75_10.D,41574,117604,39932,9065,18414,495,12741,6706
10/19/2021 6:41 PM,76_1.D,71128,97013,45515,10443,32852.41,2242,7406,5331
10/20/2021 3:05 PM,76_2.D,55271,88969,39724,9634,21824,545,54680,21109
10/20/2021 8:55 PM,76_3.D,53493,80572,40017,9538,19892,1277,46108,20199
10/21/2021 12:16 AM,76_4.D,47481,83308,39615,8481,19086,711,26396,12176
10/21/2021 3:37 AM,76_5.D,68976,184607,49229,10100,26171,1154,6357,3688
10/21/2021 7:13 AM,76_6.D,54122,145110,39511,9096,18785,628,62571,11428
10/21/2021 2:30 PM,76_7.D,49431,133326,49693,10136,20832,586,39401,22616
10/21/2021 7:56 PM,76_8.D,41912,93133,40042,9057,18792,491,21468,7604
10/21/2021 11:16 PM,76_9.D,47117,94804,39252,8793,18974,784,14794,3867
10/22/2021 2:51 AM,76_10.D,40743,82659,36685,8581,18515,402,6330,3003
10/19/2021 6:56 PM,77_1.D,70145,94539,43446,10249,36311.18,1893,19813,12731
10/20/2021 3:21 PM,77_2.D,57638,89534,42773,10150,20648,917,53418,23932
10/20/2021 9:11 PM,77_3.D,52252,83026,37258,9096,15904,1960,73272,23953
10/21/2021 12:31 AM,77_4.D,46402,90016,38618,8296,18815,1199,39254,22767
10/21/2021 3:52 AM,77_5.D,49392,71331,40203,8749,19081,4675,9596,3622
10/21/2021 7:28 AM,77_6.D,47242,91337,39262,8480,19409,564,32328,18571
10/21/2021 2:46 PM,77_7.D,48535,116987,46989,9746,21279,1805,31017,13448
10/21/2021 8:12 PM,77_8.D,42206,138924,38722,8842,17963,607,43898,28126
10/21/2021 11:31 PM,77_9.D,46363,117785,35359,8264,18214,2908,16288,5967
10/22/2021 3:06 AM,77_10.D,42383,102103,37643,8709,18281,890,13882,9384
10/19/2021 7:11 PM,78_1.D,76480,100075,50196,11302,32382.92,1994,36580,13904
10/20/2021 4:03 PM,78_2.D,54469,86864,39546,9579,20868,1023,26431,13537
10/20/2021 9:26 PM,78_3.D,58905,123488,40740,9932,20881,802,43387,19543
10/21/2021 12:47 AM,78_4.D,46268,91294,39436,8411,18708,2144,24601,16443
10/21/2021 4:08 AM,78_5.D,70359,110715,64277,11845,28734,2230,27248,15589
10/21/2021 7:44 AM,78_6.D,38542,68076,37687,8187,18761,705,46,22
10/21/2021 3:01 PM,78_7.D,37918,131971,38211,8369,19658,409,45897,32041
10/21/2021 8:27 PM,78_8.D,37328,78216,35611,8209,17987,255,42,28
10/21/2021 11:47 PM,78_9.D,57856,112754,51812,10720,25221,1167,5085,3213
10/22/2021 3:22 AM,78_10.D,42648,120776,38153,8670,18170,391,19180,10419
10/19/2021 7:27 PM,MD_1.D,65128,94709,42556,10106,33275.92,1370,18939,12552
10/20/2021 4:18 PM,MD_2.D,54948,103995,37162,9138,19896,1153,54247,31334
10/20/2021 9:42 PM,MD_3.D,55095,66384,39116,9431,19871,1975,70,31
10/21/2021 1:02 AM,MD_4.D,50935,80730,39202,8363,18302,893,11153,9053
10/21/2021 4:38 AM,MD_5.D,47437,70335,40162,8746,19688,3668,6678,4127
10/21/2021 7:59 AM,MD_6.D,39821,90169,38644,8378,17920,840,51177,22612
10/21/2021 3:16 PM,MD_7.D,38286,111147,36844,8130,17406,509,31288,23678
10/21/2021 8:43 PM,MD_8.D,40928,98365,38045,8562,17921,591,18759,10502
10/22/2021 12:02 AM,MD_9.D,57697,105458,38374,8492,18314,1586,36142,15675
10/22/2021 3:37 AM,MD_10.D,43924,142922,40041,9053,19625,539,21469,6337
10/19/2021 12:39 PM,STD_A1.D,93262,108521,62766,13707,3662066,771371,1095,2995
10/19/2021 12:55 PM,STD_C1.D,92206,104043,56714,12511,3412178,58475,883,2305
10/19/2021 1:20 PM,STD_D1.D,129299,180555,91441,16449,4238438,11746,1231,3157
10/19/2021 1:35 PM,STD_B1.D,64938,67937,57221,12555,3466013,117539,646,1217
10/19/2021 1:54 PM,STD_G1.D,85010,111650,50032,11396,4113005,7250,1289,2772
10/20/2021 5:50 PM,STD_H1.D,54428,68740,36816,9101,18671,390,31,21
10/20/2021 6:06 PM,STD_I1.D,69008,133974,52782,11743,26152,810,52,23
10/20/2021 6:21 PM,STD_J1.D,54101,68012,39404,9530,19340,355,29,20
10/20/2021 6:36 PM,STD_K1.D,55461,68092,39295,9534,20069,388,34,19
10/20/2021 6:52 PM,STD_L1.D,56604,74432,40528,9902,21361,298,31,75
10/20/2021 7:07 PM,STD_L2.D,54453,69408,39395,9723,3067905,629,548,1384
10/21/2021 5:07 PM,STD_G2.D,39985,78119,37483,8351,18744,581,67,37
10/21/2021 5:23 PM,STD_H2.D,41489,83300,39156,8711,19049,329,28,121
10/21/2021 5:38 PM,STD_I2.D,37792,73870,38544,8660,17199,232,22,63
10/21/2021 5:53 PM,STD_J2.D,39267,73430,39636,8799,17686,279,25,59
10/21/2021 6:09 PM,STD_K2.D,38868,72903,39583,8729,17635,466,28,63
10/21/2021 6:24 PM,STD_L3.D,40622,81343,39406,8756,18333,253,30,118
10/22/2021 3:52 AM,STD_E1.D,44969,88566,41690,9494,19285,509,38,26
10/22/2021 4:08 AM,STD_F1.D,43976,105365,41767,9353,19279,339,34,20
10/22/2021 4:23 AM,STD_G3.D,38443,75126,36635,8509,18217,567,36,20
10/22/2021 4:38 AM,STD_H3.D,41105,76504,37505,8629,16568,338,27,64
10/22/2021 4:54 AM,STD_J3.K,39644,72860,38451,8836,18233,314,24,111
10/22/2021 5:09 AM,STD_L4.D,54678,193298,51996,10939,26415,520,36,24
10/22/2021 3:54 PM,STD_A2.D,41062,68011,35123,8741,21117,522820,14,108
10/22/2021 4:09 PM,STD_B2.D,45243,73402,38556,9377,20170,23117,23,62
10/22/2021 4:25 PM,STD_C2.D,39041,68309,36499,8952,19736,2102,18,105
10/22/2021 4:40 PM,STD_D2.D,57085,92532,47302,10803,25910,532,24,19
10/22/2021 4:56 PM,STD_E2.D,41772,72326,37941,9205,18494,294,20,54
10/22/2021 5:11 PM,STD_F2.D,45884,74614,38821,9454,20014,239,19,13
10/22/2021 5:26 PM,STD_G4.D,40287,73005,35718,8846,19833,223,19,101
10/22/2021 5:42 PM,STD_H4.D,45283,71728,37398,9129,18352,293,33,54
10/22/2021 5:57 PM,STD_I3.D,42400,69312,38714,9467,18788,1578,28,11
10/22/2021 6:12 PM,STD_J4.D,41941,69756,37200,9128,19553,249,17,102
10/22/2021 6:28 PM,STD_K3.D,41703,71177,37173,9048,19522,177,20,106
10/22/2021 6:43 PM,STD_L5.D,39875,72997,33647,8411,19774,346,23,96
